Year,m,d,Time,Time zone,Precipitation amount (mm),Maximum temperature (degC),Minimum temperature (degC)
2019,9,1,00:00,UTC,,22.3,14.9
2019,9,2,00:00,UTC,,23.1,15.4
2019,9,3,00:00,UTC,,16.2,13.2
2019,9,4,00:00,UTC,,15.5,9.6
2019,9,5,00:00,UTC,,14.7,8.7
2019,9,6,00:00,UTC,,14.9,12.2
2019,9,7,00:00,UTC,,16.1,9.4
2019,9,8,00:00,UTC,,15.1,11.9
2019,9,9,00:00,UTC,,18.1,8.3
2019,9,10,00:00,UTC,,16.2,13.1
2019,9,11,00:00,UTC,,21.2,14.4
2019,9,12,00:00,UTC,,15.4,13.9
2019,9,13,00:00,UTC,,14.4,10.9
2019,9,14,00:00,UTC,,11.8,8.9
2019,9,15,00:00,UTC,,11.9,4.6
2019,9,16,00:00,UTC,,9,2.8
2019,9,17,00:00,UTC,,10.9,5.8
2019,9,18,00:00,UTC,,9.2,1.7
2019,9,19,00:00,UTC,,9.1,4.1
2019,9,20,00:00,UTC,,9.2,3.8
2019,9,21,00:00,UTC,,9,2.3
2019,9,22,00:00,UTC,,7.9,0.2
2019,9,23,00:00,UTC,,7.7,2.3
2019,9,24,00:00,UTC,,6.1,1
2019,9,25,00:00,UTC,,9.4,2.9
2019,9,26,00:00,UTC,,10.2,8.1
2019,9,27,00:00,UTC,,10.6,8.7
2019,9,28,00:00,UTC,,13,6.3
2019,9,29,00:00,UTC,,9.8,8.2
2019,9,30,00:00,UTC,,10.9,7.8